stop_id,trip_id,planned_time,real_time,delay_minutes,collected_at,operator,transport_type,route_id,route_short_name
200304011,1|8042|4|82|19082025,2025-08-19 17:30:00,2025-08-19 17:30:00,0.0,2025-08-19 17:30:50,Ville de Luxembourg - Service Autobus,Bus,275,5
120903038,1|7997|0|82|8092025,2025-09-08 13:07:00,2025-09-08 13:07:00,0.0,2025-09-08 12:15:39,Régime Général des Transports Routiers,Bus,2331,140
200303007,1|15109|2|82|14082025,2025-08-14 19:32:00,2025-08-14 19:34:00,2.0,2025-08-14 19:31:47,Régime Général des Transports Routiers,Bus,2581,511
200420013,1|20549|0|82|25082025,2025-08-25 22:26:00,2025-08-25 22:26:00,0.0,2025-08-25 22:00:54,Ville de Luxembourg - Service Autobus,Bus,275,5
200414008,1|20020|0|82|29082025,2025-08-29 19:16:00,2025-08-29 19:18:00,2.0,2025-08-29 19:01:24,Ville de Luxembourg - Service Autobus,Bus,262,15
121006003,1|9739|0|82|9092025,2025-09-09 17:29:00,2025-09-09 17:31:00,2.0,2025-09-09 17:34:17,Régime Général des Transports Routiers,Bus,3171,120
200508002,1|16350|0|82|5092025,2025-09-05 18:46:00,2025-09-05 18:46:00,0.0,2025-09-05 18:34:48,Régime Général des Transports Routiers,Bus,3637,850
220203012,1|15005|0|82|7082025,2025-08-07 10:53:00,2025-08-07 10:55:00,2.0,2025-08-07 10:19:31,TICE,Bus,321,14
140602005,1|6996|3|82|16092025,2025-09-16 15:58:00,2025-09-16 15:58:00,0.0,2025-09-16 15:19:54,Régime Général des Transports Routiers,Bus,3173,136
200425003,1|7383|1|82|1082025,2025-08-01 19:46:00,2025-08-01 19:46:00,0.0,2025-08-01 19:31:27,Régime Général des Transports Routiers,Bus,1969,31
201004002,1|6227|6|82|5082025,2025-08-05 15:53:00,2025-08-05 15:59:00,6.0,2025-08-05 16:01:17,Régime Général des Transports Routiers,Bus,3167,111
200408001,1|8387|3|82|27082025,2025-08-27 10:45:00,2025-08-27 10:45:00,0.0,2025-08-27 10:30:15,Ville de Luxembourg - Service Autobus,Bus,261,14
200405013,1|1005|2|82|29072025,2025-07-29 22:13:00,2025-07-29 22:14:00,1.0,2025-07-29 22:00:02,Ville de Luxembourg - Service Autobus,Bus,275,5
200405046,1|6059|5|82|9082025,2025-08-09 14:51:00,2025-08-09 14:51:00,0.0,2025-08-09 14:30:12,Régime Général des Transports Routiers,Bus,257,10
200408008,1|11802|0|82|14092025,2025-09-14 21:08:00,2025-09-14 21:10:00,2.0,2025-09-14 21:00:49,Ville de Luxembourg - Service Autobus,Bus,262,15
120502001,1|4900|1|82|31072025,2025-07-31 17:56:00,2025-07-31 17:56:00,0.0,2025-07-31 17:45:55,Régime Général des Transports Routiers,Bus,2330,131
200101002,1|14802|3|82|29082025,2025-08-29 16:07:00,2025-08-29 16:13:00,6.0,2025-08-29 16:00:16,Régime Général des Transports Routiers,Bus,257,10
200406013,1|20602|0|82|25082025,2025-08-25 16:43:00,2025-08-25 16:44:00,1.0,2025-08-25 16:34:09,Ville de Luxembourg - Service Autobus,Bus,262,15
220301070,1|6911|7|82|8092025,2025-09-08 12:35:00,2025-09-08 12:35:00,0.0,2025-09-08 12:19:34,TICE,Bus,988,8
